density(tonne/mm3),E(MPa),v(-),phi(deg),psi(deg),c(MPa),area_reduced(%),plastic_zone(%),max_PEEQ(-),min_PEEQ(-),sim_num,deformation_modulus(-),silo_FoS(-),stability_class
1.6e-09,30,0.2,26.25,18.375,0.0008,0.297155163936761,7.1155650731665,1.75987,1.40589e-08,40,171.32310851797124,0.3841134813225065,GENERAL FAILURE
1.6e-09,30,0.2,26.25,18.375,0.0131,0.010073056404636,0.383825420084983,0.0202202,8.62705e-08,41,1.4107097974822531,1.1911626341833434,STABLE
1.6e-09,30,0.2,26.25,18.375,0.0254,0.0119617544805052,0.114161305919208,0.00938769,1.27893e-07,42,1.051363989420713,1.1166124971585376,STABLE
1.6e-09,30,0.2,26.25,18.375,0.0377,0.0138504525563745,0.0390330935679644,0.0047074,2.11644e-06,43,0.958105067911669,1.0808395609674961,STABLE
1.6e-09,30,0.2,26.25,18.375,0.05,0.0172081380245865,0.00944349037934623,0.00220563,4.3878e-07,44,0.9286603034968587,1.129588890430526,STABLE
1.6e-09,30,0.2,26.25,23.625,0.0008,0.291069359025627,6.32462029006081,1.77934,1.25652e-08,45,150.63378379672014,1.2031196821638632,GENERAL FAILURE
1.6e-09,30,0.2,26.25,23.625,0.0131,0.0119617544805052,0.395367463881962,0.0255844,6.67734e-08,46,1.4051573281639849,1.2150095422111875,STABLE
1.6e-09,30,0.2,26.25,23.625,0.0254,0.0128011758475582,0.115420437969787,0.0110752,1.98644e-07,47,1.0483768394076165,1.2092922183487518,STABLE
1.6e-09,30,0.2,26.25,23.625,0.0377,0.0144800185816642,0.0419710683526499,0.00518446,3.02238e-06,48,0.9566924255409436,1.1357611094428262,STABLE
1.6e-09,30,0.2,26.25,23.625,0.05,0.0172081380245865,0.010912477771689,0.00232776,2.09224e-06,49,0.9284150530852744,1.1300762587490656,STABLE
1.6e-09,30,0.2,32.5,3.25,0.0008,0.013430741872848,0.604383384278159,0.015838,5.3881e-08,50,1.6505533117561189,1.282306305566757,STABLE
1.6e-09,30,0.2,32.5,3.25,0.0131,0.0121716098222685,0.232309863331917,0.0115742,1.39469e-07,51,1.393514784475561,1.1822774667124192,STABLE
