density(tonne/mm3),E(MPa),v(-),phi(deg),psi(deg),c(MPa),area_reduced(%),plastic_zone(%),max_PEEQ(-),min_PEEQ(-),sim_num
1.6e-09,30,0.2,32.5,29.25,0.1,0,0,0,0,74
1.6e-09,30,0.2,38.75,3.875,0.0005,0,0,0.0176502,1.07266e-07,75
1.6e-09,30,0.2,38.75,3.875,0.025375,0,0,0.00511178,4.87413e-08,76
1.6e-09,30,0.2,38.75,3.875,0.05025,0,0,0.00147403,1.07553e-06,77
1.6e-09,30,0.2,38.75,3.875,0.075125,0,0,0,0,78
1.6e-09,30,0.2,38.75,3.875,0.1,0,0,0,0,79
1.6e-09,30,0.2,38.75,11.625,0.0005,0,2.52896672358892,0.0285128,1.72797e-09,80
1.6e-09,30,0.2,38.75,11.625,0.025375,0,0,0.00542287,2.65061e-07,81
1.6e-09,30,0.2,38.75,11.625,0.05025,0,0,0.00160314,1.72135e-06,82
1.6e-09,30,0.2,38.75,11.625,0.075125,0,0,0,0,83
1.6e-09,30,0.2,38.75,11.625,0.1,0,0,0,0,84
1.6e-09,30,0.2,38.75,19.375,0.0005,0,0,0.0312046,2.71456e-09,85
1.6e-09,30,0.2,38.75,19.375,0.025375,0,0,0.00580977,7.0503e-07,86
1.6e-09,30,0.2,38.75,19.375,0.05025,0,0,0.00172,6.18895e-06,87
1.6e-09,30,0.2,38.75,19.375,0.075125,0,0,0,0,88
1.6e-09,30,0.2,38.75,19.375,0.1,0,0,0,0,89
1.6e-09,30,0.2,38.75,27.125,0.0005,0,4.45438948426673,0.071274,5.34784e-06,90
1.6e-09,30,0.2,38.75,27.125,0.025375,0,0,0.00633349,6.82582e-08,91
1.6e-09,30,0.2,38.75,27.125,0.05025,0,0,0.00182373,3.85178e-07,92
1.6e-09,30,0.2,38.75,27.125,0.075125,0,0,0,0,93
1.6e-09,30,0.2,38.75,27.125,0.1,0,0,0,0,94
1.6e-09,30,0.2,38.75,34.875,0.0005,0.549820995419714,11.3961943344533,1.40741,4.10251e-05,95
1.6e-09,30,0.2,38.75,34.875,0.025375,0,0,0.00713229,3.28446e-07,96
1.6e-09,30,0.2,38.75,34.875,0.05025,0,0,0.0019139,1.7013e-07,97
1.6e-09,30,0.2,38.75,34.875,0.075125,0,0,0,0,98
1.6e-09,30,0.2,38.75,34.875,0.1,0,0,0,0,99
1.6e-09,30,0.2,45,4.5,0.0005,0,0,0.0123104,5.46079e-05,100
1.6e-09,30,0.2,45,4.5,0.025375,0,0,0.00459553,6.26771e-07,101
1.6e-09,30,0.2,45,4.5,0.05025,0,0,0.00151285,7.41012e-06,102
1.6e-09,30,0.2,45,4.5,0.075125,0,0,0,0,103
1.6e-09,30,0.2,45,4.5,0.1,0,0,0,0,104
1.6e-09,30,0.2,45,13.5,0.0005,0,0,0.0218285,6.24496e-05,105
1.6e-09,30,0.2,45,13.5,0.025375,0,0,0.00488459,4.31519e-08,106
1.6e-09,30,0.2,45,13.5,0.05025,0,0,0.00167279,4.88223e-07,107
1.6e-09,30,0.2,45,13.5,0.075125,0,0,0,0,108
1.6e-09,30,0.2,45,13.5,0.1,0,0,0,0,109
1.6e-09,30,0.2,45,22.5,0.0005,0,2.482798548401,0.0361504,6.73058e-05,110
1.6e-09,30,0.2,45,22.5,0.025375,0,0,0.00523219,3.5366e-08,111
1.6e-09,30,0.2,45,22.5,0.05025,0,0,0.00181191,5.61366e-06,112
1.6e-09,30,0.2,45,22.5,0.075125,0,0,0,0,113
1.6e-09,30,0.2,45,22.5,0.1,0,0,0,0,114
1.6e-09,30,0.2,45,31.5,0.0005,0,2.43746979458014,0.0491248,6.95089e-05,115
1.6e-09,30,0.2,45,31.5,0.025375,0,0,0.00570611,6.89706e-08,116
1.6e-09,30,0.2,45,31.5,0.05025,0,0,0.00193712,8.83114e-07,117
1.6e-09,30,0.2,45,31.5,0.075125,0,0,0.000121669,2.45636e-05,118
1.6e-09,30,0.2,45,31.5,0.1,0,0,0,0,119
1.6e-09,30,0.2,45,40.5,0.0005,0.109964199083943,4.52322203636508,0.345731,6.87593e-05,120
1.6e-09,30,0.2,45,40.5,0.025375,0,0,0.00646292,1.06427e-08,121
1.6e-09,30,0.2,45,40.5,0.05025,0,0,0.00203535,1.88676e-06,122
1.6e-09,30,0.2,45,40.5,0.075125,0,0,0.000206771,4.94424e-05,123
1.6e-09,30,0.2,45,40.5,0.1,0,0,0,0,124
1.6e-09,30,0.4,20,2,0.0005,0.105137526223388,18.6120702609826,0.256639,9.81066e-08,125
1.6e-09,30,0.4,20,2,0.025375,0,0,0.00728033,4.24621e-07,126
1.6e-09,30,0.4,20,2,0.05025,0,0,0.00193092,2.91048e-06,127
1.6e-09,30,0.4,20,2,0.075125,0,0,0,0,128
1.6e-09,30,0.4,20,2,0.1,0,0,0,0,129
1.6e-09,30,0.4,20,6,0.0005,0,17.276760721343,0.155067,1.02014e-08,130
1.6e-09,30,0.4,20,6,0.025375,0,0,0.00758246,4.16174e-08,131
1.6e-09,30,0.4,20,6,0.05025,0,0,0.00199784,5.95238e-06,132
1.6e-09,30,0.4,20,6,0.075125,0,0,0,0,133
1.6e-09,30,0.4,20,6,0.1,0,0,0,0,134
1.6e-09,30,0.4,20,10,0.0005,0.11563029331155,17.5034044904474,0.22986,9.7514e-08,135
1.6e-09,30,0.4,20,10,0.025375,0,0,0.00792637,1.1427e-07,136
1.6e-09,30,0.4,20,10,0.05025,0,0,0.00206516,2.41466e-07,137
1.6e-09,30,0.4,20,10,0.075125,0,0,0,0,138
1.6e-09,30,0.4,20,10,0.1,0,0,0,0,139
1.6e-09,30,0.4,20,14,0.0005,0.147738160601328,17.6683507890733,0.346879,9.72445e-08,140
1.6e-09,30,0.4,20,14,0.025375,0,0,0.00832555,4.5611e-08,141
1.6e-09,30,0.4,20,14,0.05025,0,0,0.00213461,7.16185e-07,142
1.6e-09,30,0.4,20,14,0.075125,0,0,0,0,143
1.6e-09,30,0.4,20,14,0.1,0,0,0,0,144
1.6e-09,30,0.4,20,18,0.0005,0.208386354370907,17.9552230412636,0.573023,2.05844e-09,145
1.6e-09,30,0.4,20,18,0.025375,0,0,0.00880007,5.51327e-08,146
1.6e-09,30,0.4,20,18,0.05025,0,0,0.00220718,1.2829e-06,147
1.6e-09,30,0.4,20,18,0.075125,0,0,0,0,148
1.6e-09,30,0.4,20,18,0.1,0,0,0,0,149
1.6e-09,30,0.4,26.25,2.625,0.0005,0,13.2876205297654,0.0577956,2.49582e-08,150
1.6e-09,30,0.4,26.25,2.625,0.025375,0,0,0.00642036,2.93588e-07,151
1.6e-09,30,0.4,26.25,2.625,0.05025,0,0,0.00153865,8.32469e-07,152
1.6e-09,30,0.4,26.25,2.625,0.075125,0,0,0,0,153
1.6e-09,30,0.4,26.25,2.625,0.1,0,0,0,0,154
1.6e-09,30,0.4,26.25,7.875,0.0005,0,14.4940788895624,0.0877127,5.3542e-08,155
1.6e-09,30,0.4,26.25,7.875,0.025375,0,0,0.00672505,1.2558e-07,156
1.6e-09,30,0.4,26.25,7.875,0.05025,0,0,0.00160705,5.92507e-07,157
1.6e-09,30,0.4,26.25,7.875,0.075125,0,0,0,0,158
1.6e-09,30,0.4,26.25,7.875,0.1,0,0,0,0,159
1.6e-09,30,0.4,26.25,13.125,0.0005,0.0988418659704905,16.2556046283231,0.195271,2.36098e-09,160
1.6e-09,30,0.4,26.25,13.125,0.025375,0,0,0.00709111,3.91036e-07,161
1.6e-09,30,0.4,26.25,13.125,0.05025,0,0,0.00167879,1.34203e-06,162
1.6e-09,30,0.4,26.25,13.125,0.075125,0,0,0,0,163
1.6e-09,30,0.4,26.25,13.125,0.1,0,0,0,0,164
1.6e-09,30,0.4,26.25,18.375,0.0005,0.206077945611511,17.2593427279767,0.388641,3.75987e-08,165
1.6e-09,30,0.4,26.25,18.375,0.025375,0,0,0.00754381,3.24945e-07,166
1.6e-09,30,0.4,26.25,18.375,0.05025,0,0,0.00175421,1.28831e-06,167
1.6e-09,30,0.4,26.25,18.375,0.075125,0,0,0,0,168
1.6e-09,30,0.4,26.25,18.375,0.1,0,0,0,0,169
1.6e-09,30,0.4,26.25,23.625,0.0005,0.540587360382131,18.024055593362,1.2767,9.46377e-08,170
1.6e-09,30,0.4,26.25,23.625,0.025375,0,0,0.00812959,8.61039e-08,171
1.6e-09,30,0.4,26.25,23.625,0.05025,0,0,0.00183835,7.72434e-07,172
1.6e-09,30,0.4,26.25,23.625,0.075125,0,0,0,0,173
1.6e-09,30,0.4,26.25,23.625,0.1,0,0,0,0,174
1.6e-09,30,0.4,32.5,3.25,0.0005,0,2.49350117083093,0.0198928,8.75055e-09,175
1.6e-09,30,0.4,32.5,3.25,0.025375,0,0,0.00560296,9.62789e-08,176
1.6e-09,30,0.4,32.5,3.25,0.05025,0,0,0.00119339,1.11799e-06,177
1.6e-09,30,0.4,32.5,3.25,0.075125,0,0,0,0,178
1.6e-09,30,0.4,32.5,3.25,0.1,0,0,0,0,179
1.6e-09,30,0.4,32.5,9.75,0.0005,0,3.46681024592888,0.0284928,8.52605e-08,180
1.6e-09,30,0.4,32.5,9.75,0.025375,0,0,0.00590009,4.92949e-07,181
1.6e-09,30,0.4,32.5,9.75,0.05025,0,0,0.0012926,1.11561e-06,182
1.6e-09,30,0.4,32.5,9.75,0.075125,0,0,0,0,183
1.6e-09,30,0.4,32.5,9.75,0.1,0,0,0,0,184
1.6e-09,30,0.4,32.5,16.25,0.0005,0,7.23140522181982,0.063988,9.99542e-08,185
1.6e-09,30,0.4,32.5,16.25,0.025375,0,0,0.00627416,2.48963e-07,186
1.6e-09,30,0.4,32.5,16.25,0.05025,0,0,0.0013849,7.7866e-08,187
1.6e-09,30,0.4,32.5,16.25,0.075125,0,0,0,0,188
1.6e-09,30,0.4,32.5,16.25,0.1,0,0,0,0,189
1.6e-09,30,0.4,32.5,22.75,0.0005,0.134727129412006,14.4749820534619,0.331361,4.03233e-09,190
1.6e-09,30,0.4,32.5,22.75,0.025375,0,0,0.00676891,8.55068e-08,191
1.6e-09,30,0.4,32.5,22.75,0.05025,0,0,0.00147286,1.01872e-06,192
1.6e-09,30,0.4,32.5,22.75,0.075125,0,0,0,0,193
1.6e-09,30,0.4,32.5,22.75,0.1,0,0,0,0,194
1.6e-09,30,0.4,32.5,29.25,0.0005,0.399354715375464,15.331191847856,0.969411,2.59791e-08,195
1.6e-09,30,0.4,32.5,29.25,0.025375,0,0,0.00747331,1.70409e-07,196
1.6e-09,30,0.4,32.5,29.25,0.05025,0,0,0.00155679,7.62359e-07,197
1.6e-09,30,0.4,32.5,29.25,0.075125,0,0,0,0,198
1.6e-09,30,0.4,32.5,29.25,0.1,0,0,0,0,199
